,predicted_weekly_demand,safety_stock,recommended_restock,avg_price,estimated_cost,Description
22178,707.0,361.0,1068.0,2.096747474747475,2238.64,VICTORIAN GLASS HANGING T-LIGHT
22560,398.0,666.0,1064.0,1.6193205128205128,1722.45,TRADITIONAL MODELLING CLAY
20724,804.0,257.0,1061.0,1.1762239858906525,1247.87,RED RETROSPOT CHARLOTTE BAG
23055,926.0,135.0,1061.0,1.0,1060.65,IVORY CHANDELIER T-LIGHT HOLDER
23309,583.0,463.0,1046.0,0.8094973544973546,846.89,SET OF 60 I LOVE LONDON CAKE CASES 
22470,447.0,598.0,1044.0,3.214697142857143,3356.85,HEART OF WICKER LARGE
22646,720.0,318.0,1038.0,2.1174782608695653,2198.14,CERAMIC STRAWBERRY CAKE MONEY BANK
POST,402.0,633.0,1035.0,24.541196931956932,25407.29,POSTAGE
20974,469.0,562.0,1031.0,0.6458333333333334,665.97,12 PENCILS SMALL TUBE SKULL
22909,673.0,340.0,1013.0,0.9645836540003206,977.48,SET OF 20 VINTAGE CHRISTMAS NAPKINS
23343,689.0,322.0,1011.0,2.4781670675004013,2504.37,JUMBO BAG VINTAGE CHRISTMAS 
22866,632.0,377.0,1008.0,2.541639772778662,2562.25,HAND WARMER SCOTTY DOG DESIGN
23571,690.0,311.0,1000.0,1.9573497942386828,1957.67,TRADITIONAL NAUGHTS & CROSSES
21811,642.0,357.0,999.0,0.4034285714285714,403.14,CHRISTMAS HANGING HEART WITH BELL
22457,510.0,487.0,997.0,3.716999412110523,3706.55,NATURAL SLATE HEART CHALKBOARD 
22959,566.0,419.0,985.0,0.42,413.7,WRAP CHRISTMAS VILLAGE
85123A,524.0,458.0,982.0,3.2207499989722215,3162.77,WHITE HANGING HEART T-LIGHT HOLDER
23230,703.0,277.0,980.0,0.41727272727272724,409.13,WRAP ALPHABET DESIGN
21564,538.0,440.0,978.0,2.086,2040.18,PINK  HEART SHAPE LOVE BUCKET 
22867,702.0,274.0,976.0,2.500802625358181,2440.08,HAND WARMER BIRD DESIGN
23201,544.0,426.0,970.0,2.5904015737349066,2513.56,JUMBO BAG ALPHABET
23327,639.0,325.0,963.0,0.61,587.63,HANGING CLEAR MINI BOTTLE
22154,744.0,213.0,957.0,0.5569610733182161,533.21,ANGEL DECORATION 3 BUTTONS 
22411,663.0,293.0,957.0,2.5798186258186258,2467.82,JUMBO SHOPPER VINTAGE RED PAISLEY
23202,661.0,291.0,952.0,2.479135949441505,2361.13,mailout
23177,470.0,471.0,941.0,3.284304347826087,3091.53,TREASURE ISLAND BOOK BOX
22469,454.0,484.0,939.0,2.0096325690770134,1886.09,HEART OF WICKER SMALL
35953,733.0,203.0,935.0,0.4758,445.04,FOLKART STAR CHRISTMAS DECORATIONS
85172,508.0,413.0,921.0,0.492,453.06,HYACINTH BULB T-LIGHT CANDLES
22577,467.0,450.0,917.0,0.42251150701150697,387.58,WOODEN HEART CHRISTMAS SCANDINAVIAN
23076,643.0,272.0,915.0,1.6863650793650793,1543.43,ICE CREAM SUNDAE LIP GLOSS
71477,547.0,367.0,915.0,4.448929606625259,4069.93,COLOUR GLASS. STAR T-LIGHT HOLDER
21232,452.0,461.0,913.0,1.7759532967032965,1622.26,STRAWBERRY CERAMIC TRINKET BOX
22727,407.0,495.0,902.0,4.58993120562565,4140.47,ALARM CLOCK BAKELIKE RED 
22065,610.0,287.0,897.0,0.8682492651381539,778.81,CHRISTMAS PUDDING TRINKET POT 
23056,612.0,284.0,896.0,6.73,6028.42,FLOWERS CHANDELIER T-LIGHT HOLDER
23057,606.0,287.0,893.0,2.316666666666667,2067.99,GEMSTONE CHANDELIER T-LIGHT HOLDER
21731,597.0,279.0,876.0,2.272396628063295,1991.04,RED TOADSTOOL LED NIGHT LIGHT
35954,599.0,269.0,869.0,0.095,82.52,SMALL FOLKART STAR CHRISTMAS DEC
22338,576.0,289.0,866.0,0.47187912087912093,408.5,STAR DECORATION PAINTED ZINC 
84947,545.0,320.0,865.0,1.501890873015873,1298.8,ANTIQUE SILVER TEA GLASS ENGRAVED
22998,451.0,412.0,863.0,0.5944679487179487,512.86,TRAVEL CARD WALLET KEEP CALM
21977,613.0,248.0,862.0,0.7763383838383838,669.14,PACK OF 60 PINK PAISLEY CAKE CASES
23355,730.0,131.0,861.0,5.446745230078563,4690.17,HOT WATER BOTTLE KEEP CALM
21212,646.0,199.0,846.0,0.9907775907220353,837.91,PACK OF 72 RETROSPOT CAKE CASES
22476,248.0,591.0,839.0,5.302083333333333,4447.04,EMPIRE UNION JACK TV DINNER TRAY
75049L,416.0,421.0,838.0,1.6224444444444444,1358.82,LARGE CIRCULAR MIRROR MOBILE
23326,413.0,424.0,837.0,2.855,2389.78,HANGING MINI COLOURED BOTTLES
84568,417.0,419.0,836.0,0.39421052631578946,329.55,GIRLS ALPHABET IRON ON PATCHES 
20973,522.0,312.0,834.0,0.8191005291005291,683.16,12 PENCIL SMALL TUBE WOODLAND
84991,562.0,268.0,830.0,0.7557422222222222,627.25,60 TEATIME FAIRY CAKE CASES
20971,545.0,285.0,830.0,1.5298302469135803,1269.9,PINK BLUE FELT CRAFT TRINKET BOX
85107,355.0,455.0,810.0,2.321,1879.53,CUT GLASS T-LIGHT HOLDER OCTAGON
90057,495.0,301.0,796.0,1.25,994.69,DIAMANTE RING ASSORTED IN BOX.
23199,434.0,360.0,794.0,2.7304481187536744,2167.55,JUMBO BAG APPLES
21791,537.0,247.0,784.0,1.540350529100529,1207.78,VINTAGE HEADS AND TAILS CARD GAME 
20713,521.0,262.0,783.0,2.9160084325396824,2283.07,JUMBO BAG OWLS
22610,595.0,187.0,782.0,0.2657894736842105,207.78,PENS ASSORTED FUNNY FACE
22629,503.0,275.0,778.0,2.321761904761905,1806.0,SPACEBOY LUNCH BOX 
22609,590.0,187.0,777.0,0.442,343.33,PENS ASSORTED SPACEBALL
22944,542.0,234.0,776.0,0.8306507936507936,644.43,CHRISTMAS METAL POSTCARD WITH BELLS
23293,467.0,306.0,773.0,1.2411803350970017,958.91,SET OF 12 FAIRY CAKE BAKING CASES
22114,572.0,201.0,773.0,5.124629068462402,3963.57,HOT WATER BOTTLE TEA AND SYMPATHY
23215,398.0,374.0,771.0,2.3285008818342154,1795.75,JINGLE BELL HEART ANTIQUE SILVER
21563,411.0,361.0,771.0,2.356666666666667,1818.08,RED HEART SHAPE LOVE BUCKET 
23078,472.0,294.0,766.0,1.6582592592592593,1270.34,ICE CREAM PEN LIP GLOSS 
84992,540.0,223.0,763.0,0.7004733333333334,534.48,72 SWEETHEART FAIRY CAKE CASES
23298,517.0,244.0,760.0,5.8217821869488535,4427.16,SPOTTY BUNTING
21914,552.0,205.0,758.0,1.5065938248993804,1141.31,BLUE HARMONICA IN BOX 
22791,575.0,180.0,755.0,1.4696600000000002,1109.64,T-LIGHT GLASS FLUTED ANTIQUE
23570,454.0,294.0,749.0,1.4556280129335686,1089.56,TRADITIONAL PICK UP STICKS GAME 
23691,455.0,287.0,742.0,0.4192941176470588,311.19,KEEP CALM BIRTHDAY WRAP
71459,480.0,259.0,739.0,1.1523809523809523,851.31,HANGING JAM JAR T-LIGHT HOLDER
85099C,473.0,263.0,736.0,2.5877270723104058,1903.94,JUMBO  BAG BAROQUE BLACK WHITE
35970,542.0,185.0,726.0,2.4398084549195658,1772.51,ZINC FOLKART SLEIGH BELLS
72232,485.0,241.0,726.0,0.19,137.93,FENG SHUI PILLAR CANDLE
22489,425.0,291.0,716.0,0.5883533333333333,421.13,PACK OF 12 TRADITIONAL CRAYONS
23543,26.0,689.0,715.0,8.100833333333334,5794.91,KEEP CALM WALL ART 
21889,537.0,173.0,711.0,1.526324074074074,1084.88,WOODEN BOX OF DOMINOES
23193,323.0,387.0,710.0,3.1456944444444446,2234.08,BUFFALO BILL TREASURE BOOK BOX
84029E,368.0,340.0,709.0,5.558487654320988,3938.42,RED WOOLLY HOTTIE WHITE HEART.
23209,513.0,194.0,706.0,2.0005160395160395,1413.02,mailout
23681,469.0,232.0,701.0,1.8521305114638447,1298.68,LUNCH BAG RED VINTAGE DOILY
22158,363.0,336.0,699.0,3.3762655677655675,2359.52,3 HEARTS HANGING DECORATION RUSTIC
21051,340.0,357.0,696.0,2.2399999999999998,1560.07,RIBBONS PURSE 
20725,502.0,190.0,692.0,2.2603505424616537,1564.71,LUNCH BAG RED RETROSPOT
22993,458.0,234.0,692.0,1.6848710552268247,1165.75,SET OF 4 PANTRY JELLY MOULDS
85099F,429.0,257.0,686.0,2.44849358974359,1680.5,JUMBO BAG STRAWBERRY
22153,318.0,362.0,680.0,0.5443181818181818,370.08,ANGEL DECORATION STARS ON DRESS
23493,527.0,151.0,678.0,2.198743359521137,1491.45,VINTAGE DOILY TRAVEL SEWING KIT
22112,528.0,142.0,670.0,5.86337621329288,3927.98,CHOCOLATE HOT WATER BOTTLE
21174,445.0,226.0,670.0,3.22906462585034,2164.41,POTTERING IN THE SHED METAL SIGN
22804,301.0,367.0,668.0,3.259618055555556,2176.64,CANDLEHOLDER PINK HANGING HEART
23300,446.0,219.0,665.0,2.1063283588839146,1401.67,GARDENERS KNEELING PAD CUP OF TEA 
21592,363.0,302.0,665.0,1.0027777777777778,667.13,RETROSPOT CIGAR BOX MATCHES 
23439,430.0,229.0,659.0,2.3495895061728396,1549.17,HAND WARMER RED LOVE HEART
23307,357.0,301.0,658.0,0.8313594944150501,546.82,SET OF 60 PANTRY DESIGN CAKE CASES 
22382,403.0,253.0,656.0,2.132544719169719,1399.75,LUNCH BAG SPACEBOY DESIGN 
22621,462.0,191.0,653.0,2.063233322233322,1347.63,TRADITIONAL KNITTING NANCY
21497,483.0,169.0,653.0,0.41647058823529415,271.78,FANCY FONTS BIRTHDAY WRAP
20992,449.0,203.0,651.0,0.48041666666666666,312.95,JAZZ HEARTS PURSE NOTEBOOK
21175,383.0,267.0,651.0,3.043813492063492,1980.24,GIN + TONIC DIET METAL SIGN
21819,376.0,271.0,647.0,0.45492753623188403,294.52,GLITTER CHRISTMAS STAR 
22071,379.0,266.0,645.0,3.689111111111111,2379.31,SMALL WHITE RETROSPOT MUG IN BOX 
21499,378.0,265.0,643.0,0.41892857142857143,269.44,BLUE POLKADOT WRAP
84827,535.0,107.0,641.0,0.09,57.73,ASS DES PHONE SPONGE CRAFT STICKER
22343,371.0,267.0,638.0,0.724,461.74,PARTY PIZZA DISH RED RETROSPOT
84949,418.0,218.0,636.0,1.8445,1172.96,SILVER HANGING T-LIGHT HOLDER
72741,454.0,175.0,630.0,1.5753985507246377,992.06,GRAND CHOCOLATECANDLE
62018,335.0,294.0,629.0,1.8499999999999999,1164.21,SOMBRERO 
22632,403.0,225.0,628.0,2.343820987654321,1471.92,HAND WARMER RED POLKA DOT
21167,402.0,224.0,626.0,0.315,197.21,WHITE SAGE INCENSE
23378,349.0,276.0,625.0,0.519547619047619,324.5,PACK OF 12 50'S CHRISTMAS TISSUES
21703,380.0,243.0,623.0,0.5792291666666667,361.0,BAG 125g SWIRLY MARBLES
85175,398.0,223.0,621.0,0.413,256.29,CACTI T-LIGHT CANDLES
84598,306.0,315.0,621.0,0.4119230769230769,255.77,BOYS ALPHABET IRON ON PATCHES
21107,339.0,281.0,620.0,3.9596969696969695,2455.43,CREAM SLICE FLANNEL PINK SPOT 
22759,407.0,211.0,618.0,2.004385964912281,1239.02,SET OF 3 NOTEBOOKS IN PARCEL
17084R,514.0,103.0,617.0,0.21,129.52,ASSORTED INCENSE PACK
22045,425.0,191.0,617.0,0.41625,256.63,SPACEBOY GIFT WRAP
22151,469.0,147.0,616.0,0.475,292.44,PLACE SETTING WHITE HEART
22666,380.0,233.0,613.0,3.9891615627171184,2443.94,RECIPE BOX PANTRY YELLOW DESIGN
23275,398.0,213.0,611.0,1.4646582892416224,894.28,SET OF 3 HANGING OWLS OLLIE BEAK
84997D,254.0,356.0,610.0,4.798194444444444,2924.66,PINK 3 PIECE POLKADOT CUTLERY SET
21326,404.0,198.0,603.0,0.7466025641025641,450.11,AGED GLASS SILVER T-LIGHT HOLDER
22095,382.0,218.0,601.0,0.9498412698412698,570.63,LADS ONLY TISSUE BOX
22356,383.0,214.0,598.0,1.3835246913580248,826.83,CHARLOTTE BAG PINK POLKADOT
21495,345.0,252.0,597.0,0.414375,247.2,SKULLS AND CROSSBONES WRAP
22818,394.0,197.0,591.0,0.4194230769230769,247.77,CARD CHRISTMAS VILLAGE
23365,431.0,156.0,587.0,0.83864,492.65,SET 12 COLOUR PENCILS LOVE LONDON
22596,369.0,218.0,587.0,1.326432271062271,778.96,CHRISTMAS STAR WISH LIST CHALKBOARD
22144,443.0,142.0,585.0,2.551630363463697,1492.16,CHRISTMAS CRAFT LITTLE FRIENDS
22712,397.0,187.0,584.0,0.6090217391304348,355.71,CARD DOLLY GIRL 
23501,387.0,196.0,583.0,1.6550310559006212,964.36,KEY RING BASEBALL BOOT UNION JACK
23461,39.0,543.0,582.0,4.517738095238095,2628.03,SWEETHEART BIRD HOUSE
22385,346.0,235.0,582.0,2.5966686507936507,1510.49,JUMBO BAG SPACEBOY DESIGN
85230B,402.0,178.0,580.0,0.2785714285714286,161.45,CINNAMON SCENTED VOTIVE CANDLE
17003,373.0,207.0,580.0,0.468030303030303,271.36,BROCADE RING PURSE 
23354,450.0,130.0,580.0,1.0724338624338625,621.71,6 GIFT TAGS 50'S CHRISTMAS 
22561,434.0,143.0,576.0,1.8653047619047618,1075.12,WOODEN SCHOOL COLOURING SET
23308,294.0,282.0,576.0,0.8568205128205129,493.62,SET OF 60 VINTAGE LEAF CAKE CASES 
22128,313.0,261.0,574.0,1.1866666666666668,681.48,PARTY CONES CANDY ASSORTED
23318,452.0,122.0,574.0,2.861973985890653,1643.07,BOX OF 6 MINI VINTAGE CRACKERS
20727,448.0,124.0,573.0,2.2028796203796204,1261.48,LUNCH BAG  BLACK SKULL.
22155,330.0,244.0,573.0,0.6380454545454545,365.75,STAR DECORATION RUSTIC
22708,410.0,162.0,572.0,0.42000000000000004,240.22,WRAP DOLLY GIRL
23319,367.0,203.0,570.0,2.8315144937367163,1614.03,BOX OF 6 MINI 50'S CRACKERS
22585,381.0,186.0,567.0,1.650222222222222,935.61,PACK OF 6 BIRDY GIFT TAGS
22096,334.0,232.0,566.0,0.39,220.66,PINK PAISLEY SQUARE TISSUE BOX 
22087,344.0,218.0,563.0,3.218406349206349,1811.16,PAPER BUNTING WHITE LACE
21891,311.0,251.0,561.0,1.6994528388278387,954.12,TRADITIONAL WOODEN SKIPPING ROPE
22597,366.0,195.0,561.0,0.5325626102292769,298.78,CHRISTMAS MUSICAL ZINC HEART 
16008,244.0,316.0,560.0,0.12000000000000001,67.17,SMALL FOLDING SCISSOR(POINTED EDGE)
21479,329.0,226.0,556.0,5.0206278659612,2790.46,WHITE SKULL HOT WATER BOTTLE 
22539,288.0,267.0,555.0,0.6033333333333333,335.08,MINI JIGSAW DOLLY GIRL
22741,422.0,132.0,554.0,1.3138636363636362,728.47,FUNKY DIVA PEN
84978,309.0,243.0,552.0,1.5893992673992676,876.97,HANGING HEART JAR T-LIGHT HOLDER
16169E,414.0,137.0,551.0,0.42,231.39,WRAP 50'S  CHRISTMAS
23200,463.0,88.0,551.0,2.6534391534391535,1461.13,mailout 
21498,402.0,149.0,551.0,0.4189473684210526,230.64,RED RETROSPOT WRAP 
84755,309.0,241.0,550.0,0.9488492063492063,522.26,COLOUR GLASS T-LIGHT HOLDER HANGING
22326,405.0,145.0,550.0,3.5006923076923075,1924.2,ROUND SNACK BOXES SET OF4 WOODLAND 
23204,368.0,183.0,550.0,1.2572179487179487,691.88,CHARLOTTE BAG APPLES DESIGN
22551,409.0,140.0,550.0,1.9808959435626103,1088.58,PLASTERS IN TIN SPACEBOY
21931,353.0,196.0,549.0,2.484522927689594,1363.59,JUMBO STORAGE BAG SUKI
22344,326.0,223.0,549.0,0.535,293.6,PARTY PIZZA DISH PINK POLKADOT
23263,401.0,148.0,549.0,1.581320054945055,867.84,SET OF 3 WOODEN HEART DECORATIONS
23376,351.0,197.0,548.0,0.5306410256410257,290.77,PACK OF 12 VINTAGE CHRISTMAS TISSUE
22345,298.0,250.0,548.0,0.5585714285714285,306.22,PARTY PIZZA DISH BLUE POLKADOT
47566,301.0,246.0,547.0,6.45311111111111,3527.33,PARTY BUNTING
22217,397.0,148.0,545.0,0.8704166666666667,474.66,T-LIGHT HOLDER HANGING LACE
21588,335.0,208.0,543.0,2.533333333333333,1374.88,RETROSPOT GIANT TUBE MATCHES
16216,394.0,149.0,543.0,0.07636363636363636,41.44,LETTER SHAPE PENCIL SHARPENER
22630,375.0,167.0,542.0,2.554350970017637,1384.05,DOLLY GIRL LUNCH BOX
85178,229.0,312.0,541.0,1.615,873.66,VICTORIAN SEWING KIT
22046,349.0,190.0,539.0,0.42,226.23,TEA PARTY  WRAPPING PAPER 
23284,450.0,87.0,538.0,10.149450176366843,5456.38,DOORMAT KEEP CALM AND COME IN
21733,407.0,132.0,538.0,3.156108058608059,1699.17,RED HANGING HEART T-LIGHT HOLDER
20719,382.0,154.0,536.0,1.3412548500881836,718.76,WOODLAND CHARLOTTE BAG
22423,386.0,149.0,536.0,15.220890973224307,8152.61,REGENCY CAKESTAND 3 TIER
23157,316.0,219.0,535.0,2.446712962962963,1308.13,SET OF 6 NATIVITY MAGNETS 
22633,376.0,157.0,533.0,2.2534886831275722,1200.08,HAND WARMER UNION JACK
23206,364.0,168.0,532.0,2.500182833627278,1330.88,LUNCH BAG APPLE DESIGN
22734,392.0,139.0,531.0,3.751882716049383,1993.19,SET OF 6 RIBBONS VINTAGE CHRISTMAS
22960,356.0,175.0,531.0,5.790603174603174,3075.84,JAM MAKING SET WITH JARS
21080,344.0,184.0,528.0,0.9976638095238095,526.46,SET/20 RED RETROSPOT PAPER NAPKINS 
20728,350.0,178.0,528.0,2.349911816578483,1241.33,LUNCH BAG CARS BLUE
21210,337.0,190.0,527.0,1.955757575757576,1031.18,SET OF 72 RETROSPOT PAPER  DOILIES
22544,222.0,303.0,525.0,0.5655681818181818,296.96,MINI JIGSAW SPACEBOY
22951,286.0,238.0,523.0,0.8250925925925926,431.69,60 CAKE CASES DOLLY GIRL DESIGN
22915,318.0,201.0,520.0,0.5406481481481482,280.94,ASSORTED BOTTLE TOP  MAGNETS 
23480,357.0,163.0,520.0,4.64345405982906,2414.43,MINI LIGHTS WOODLAND MUSHROOMS
47469,305.0,212.0,518.0,0.65,336.4,ASSORTED SHAPES PHOTO CLIP SILVER 
22644,287.0,231.0,517.0,1.9707809523809525,1019.54,CERAMIC CHERRY CAKE MONEY BANK
22299,323.0,194.0,517.0,1.305625,675.28,PIG KEYRING WITH LIGHT & SOUND 
84970S,322.0,195.0,517.0,1.2900396825396825,667.11,HANGING HEART ZINC T-LIGHT HOLDER
82583,299.0,218.0,517.0,3.0345295238095242,1568.55,HOT BATHS METAL SIGN
22573,385.0,130.0,515.0,1.136037142857143,585.62,STAR WOODEN CHRISTMAS DECORATION
22816,409.0,106.0,514.0,0.4188888888888889,215.45,CARD MOTORBIKE SANTA
16054,410.0,101.0,511.0,0.12,61.26,POPART RECT PENCIL SHARPENER ASST
22077,379.0,131.0,510.0,2.5506928277483834,1300.6,6 RIBBONS RUSTIC CHARM
23144,302.0,207.0,509.0,1.0324206349206348,525.77,ZINC T-LIGHT HOLDER STARS SMALL
23313,324.0,185.0,509.0,5.913594084927418,3010.88,VINTAGE CHRISTMAS BUNTING
22339,363.0,145.0,509.0,0.28777777777777774,146.37,CHRISTMAS TREE PAINTED ZINC 
23351,396.0,112.0,508.0,1.5839256319811876,803.97,ROLL WRAP 50'S CHRISTMAS
22554,336.0,171.0,507.0,2.0152316284538507,1021.74,PLASTERS IN TIN WOODLAND ANIMALS
23166,271.0,234.0,505.0,1.629231884057971,822.95,MEDIUM CERAMIC TOP STORAGE JAR
22564,245.0,260.0,505.0,1.501126984126984,757.72,ALPHABET STENCIL CRAFT
20975,389.0,110.0,500.0,0.6500000000000001,324.74,12 PENCILS SMALL TUBE RED RETROSPOT
23086,304.0,194.0,498.0,1.3928571428571428,693.97,ZINC  STAR T-LIGHT HOLDER 
22041,316.0,182.0,498.0,3.799375,1892.5,"RECORD FRAME 7"" SINGLE SIZE "
23290,305.0,190.0,495.0,1.4866944444444445,736.07,SPACEBOY CHILDRENS BOWL
22530,264.0,230.0,494.0,0.4166666666666667,205.8,MAGIC DRAWING SLATE DOLLY GIRL 
84988,227.0,267.0,494.0,2.067007936507937,1021.67,SET OF 72 PINK HEART PAPER DOILIES
22608,358.0,136.0,494.0,0.31407894736842107,155.29,PENS ASSORTED FUNKY JEWELED 
35923,329.0,162.0,491.0,0.39,191.37,CANDY HEART HANGING DECORATION
23295,349.0,142.0,491.0,1.2572398589065257,616.82,SET OF 12 MINI LOAF BAKING CASES
23367,352.0,138.0,490.0,0.7933818342151675,388.71,SET 12 COLOUR PENCILS SPACEBOY 
22540,278.0,211.0,489.0,0.5492307692307692,268.59,MINI JIGSAW CIRCUS PARADE 
23353,335.0,153.0,489.0,1.1097883597883598,542.25,6 GIFT TAGS VINTAGE CHRISTMAS 
21988,256.0,232.0,488.0,0.9468181818181818,462.01,PACK OF 6 SKULL PAPER PLATES
23368,360.0,127.0,487.0,0.859945054945055,418.57,SET 12 COLOUR PENCILS DOLLY GIRL 
23374,312.0,175.0,487.0,0.9119999999999999,444.34,RED SPOT PAPER GIFT BAG
16237,328.0,157.0,486.0,0.29672916666666665,144.1,SLEEPING CAT ERASERS
21705,222.0,262.0,485.0,1.9481818181818182,944.19,BAG 500g SWIRLY MARBLES
90058B,426.0,58.0,484.0,0.38000000000000006,184.06,CRYSTAL STUD EARRINGS ASSORTED COL 
23188,329.0,153.0,482.0,2.1323589743589744,1028.46,VINTAGE  2 METER FOLDING RULER
22966,345.0,137.0,481.0,1.5776907814407815,759.08,GINGERBREAD MAN COOKIE CUTTER
22070,243.0,237.0,479.0,4.764166666666666,2283.34,SMALL RED RETROSPOT MUG IN BOX 
21928,318.0,160.0,478.0,2.6476272893772896,1265.74,JUMBO BAG SCANDINAVIAN PAISLEY
